"","desired_habitat","polygon_id","transect","pin_number","data_type","species_code","scientific_name","native_non_native","functional_group","layer","new_column"
"1","Weedy Control","Weedy Control",1,NA,"A.Belt","SOLSPP","Solanum spp.","Native","Annual Forb - Other","herb","herb"
"2","Weedy Control","Weedy Control",1,NA,"A.Belt","AMBACA","Ambrosia acanthicarpa","Native","Annual Forb - Late Flowering","herb","herb"
"3","Weedy Control","Weedy Control",1,NA,"A.Belt","AMBPSI","Ambrosia psilostachya","Native","Perennial Forb - Late Flowering","herb","herb"
"4","Weedy Control","Weedy Control",1,NA,"A.Belt","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"5","Weedy Control","Weedy Control",1,NA,"A.Belt","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"6","Weedy Control","Weedy Control",1,NA,"A.Belt","LACSER","Lactuca serriola","Non-Native","Forb",".","."
"7","Mulefat Scrub/sage Scrub","OW-M7",1,1,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"8","Mulefat Scrub/sage Scrub","OW-M7",1,2,"T.PI","EROCIC","Erodium cicutarium","Non-Native","Forb",".","."
"9","Mulefat Scrub/sage Scrub","OW-M7",1,3,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"10","Mulefat Scrub/sage Scrub","OW-M7",1,4,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"11","Mulefat Scrub/sage Scrub","OW-M7",1,5,"T.PI","OPULIT","Opuntia littoralis","Native","Shrub - Late Flowering","shrub","shrub"
"12","Mulefat Scrub/sage Scrub","OW-M7",1,6,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"13","Mulefat Scrub/sage Scrub","OW-M7",1,7,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"14","Mulefat Scrub/sage Scrub","OW-M7",1,8,"T.PI","BRODIA","Bromus diandrus","Non-Native","Grass",".","."
"15","Mulefat Scrub/sage Scrub","OW-M7",1,9,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"16","Mulefat Scrub/sage Scrub","OW-M7",1,10,"T.PI","ELYCON","Elymus condensatus","Non-Native","Perennial Grass - Other","herb","."
"17","Mulefat Scrub/sage Scrub","OW-M7",1,11,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"18","Mulefat Scrub/sage Scrub","OW-M7",1,12,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"19","Mulefat Scrub/sage Scrub","OW-M7",1,13,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"20","Mulefat Scrub/sage Scrub","OW-M7",1,14,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"21","Mulefat Scrub/sage Scrub","OW-M7",1,15,"T.PI","ELYCON","Elymus condensatus","Native","Perennial Grass - Other","herb","herb"
"22","Mulefat Scrub/sage Scrub","OW-M7",1,16,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"23","Mulefat Scrub/sage Scrub","OW-M7",1,17,"T.PI","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"24","Mulefat Scrub/sage Scrub","OW-M7",1,18,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"25","Mulefat Scrub/sage Scrub","OW-M7",1,19,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"26","Mulefat Scrub/sage Scrub","OW-M7",1,20,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"27","Mulefat Scrub/sage Scrub","OW-M7",1,21,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"28","Mulefat Scrub/sage Scrub","OW-M7",1,22,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"29","Mulefat Scrub/sage Scrub","OW-M7",1,23,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"30","Mulefat Scrub/sage Scrub","OW-M7",1,24,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"31","Mulefat Scrub/sage Scrub","OW-M7",1,25,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"32","Mulefat Scrub/sage Scrub","OW-M7",1,26,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"33","Mulefat Scrub/sage Scrub","OW-M7",1,27,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"34","Mulefat Scrub/sage Scrub","OW-M7",1,28,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"35","Mulefat Scrub/sage Scrub","OW-M7",1,29,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"36","Mulefat Scrub/sage Scrub","OW-M7",1,30,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"37","Mulefat Scrub/sage Scrub","OW-M7",1,31,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"38","Mulefat Scrub/sage Scrub","OW-M7",1,32,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"39","Mulefat Scrub/sage Scrub","OW-M7",1,33,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"40","Mulefat Scrub/sage Scrub","OW-M7",1,34,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"41","Mulefat Scrub/sage Scrub","OW-M7",1,35,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"42","Mulefat Scrub/sage Scrub","OW-M7",1,36,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
